FID,INSIDE_X,INSIDE_Y,BUFFER
0,-93.0252300059,44.928294941,10
1,-93.0248930828,44.9774801785,9
2,-93.0800727244,44.93080196,8
3,-93.059015174,44.9555823239,17
4,-93.0694675374,44.9768448621,15
5,-93.1072643845,44.9778878929,14
6,-93.1214508762,44.9603152436,16
7,-93.1278295275,44.9485613849,6
8,-93.1255437231,44.9265844329,15
9,-93.1460741769,44.9791350761,18
10,-93.1674218773,44.9630722257,9
11,-93.1946331022,44.9730713344,8
12,-93.1765366439,44.9494495768,5
13,-93.1740061934,44.9340259241,8
14,-93.1713808234,44.9102197219,16
15,-93.1360979366,44.9369172855,13
16,-93.0955241979,44.9493772696,17
17,-93.3085653779,44.9576405038,9
18,-93.2994958678,45.0317876712,8
19,-93.2717350961,44.9766171475,19
20,-93.218918027,44.9409597729,9
21,-93.2983926948,44.9969240016,10
22,-93.2438146818,44.9095802626,19
23,-93.2511344335,45.0145856153,17
24,-93.2573664313,44.9562469745,15
25,-93.2602622388,44.9408460901,11
26,-93.3005503859,44.9152380545,14
27,-93.2288870372,44.9813558524,17
